name,club,age,age_cat,position,position_cat,page_views,fpl_value,fpl_sel,fpl_points,region,nationality,new_foreign,new_signing
Javier Manquillo Gaitán,Newcastle United,23,2,CB,3,119,4.4,1.40%,29,2,Spain,1,1
Jesús Gámez Duarte,Newcastle United,32,5,RB,3,186,4,2.30%,0,2,Spain,0,0
Jonjo Shelvey,Newcastle United,25,3,CM,2,747,5.5,2.50%,0,1,England,0,0
Karl Darlow,Newcastle United,26,3,GK,4,235,4.5,1.10%,0,1,England,0,0
Massadio Haïdara,Newcastle United,24,2,LB,3,114,4,0.50%,0,2,France,0,0
Matt Ritchie,Newcastle United,27,3,RM,2,566,6,4.20%,0,2,Scotland,0,0
Mohamed Diamé,Newcastle United,30,4,CM,2,339,5,0.50%,0,4,Senegal,0,0
Paul Dummett,Newcastle United,25,3,LB,3,177,4.5,1.00%,0,2,Wales,0,0
Rob Elliot,Newcastle United,31,4,GK,4,134,4,13.50%,0,2,Ireland,0,0
Rolando Aarons,Newcastle United,21,1,LW,1,170,4.5,0.10%,0,1,England,0,0
Alex McCarthy,Southampton,27,3,GK,4,34,4.4,0.10%,0,1,England,0,1
Cédric Ricardo Alves Soares,Southampton,25,3,RB,3,338,5,16.40%,102,2,Portugal,0,0
Charlie Austin,Southampton,28,4,CF,1,874,6.5,2.10%,62,1,England,0,0
Dušan Tadic,Southampton,28,4,LW,1,458,6.5,4.90%,108,2,Portugal,0,0
Fraser Forster,Southampton,29,4,GK,4,548,5,7.30%,134,1,England,0,0
Jack Stephens,Southampton,23,2,CB,3,249,5,0.40%,60,1,England,0,0
James Ward-Prowse,Southampton,22,2,CM,2,416,5.5,2.20%,92,1,England,0,0
Jan Bednarek,Southampton,21,1,CB,3,9,4.5,0.40%,0,2,Poland,1,0
Jérémy Pied,Southampton,28,4,RM,2,136,4.5,0.10%,5,2,France,0,1
Josh Sims,Southampton,20,1,RW,1,126,4.5,0.10%,12,1,England,0,0
Manolo Gabbiadini,Southampton,25,3,CF,1,2012,7,5.20%,38,2,Italy,0,0
Mario Lemina,Southampton,23,2,CM,2,118,5,0.20%,18,4,Gabon,1,1
Matt Targett,Southampton,21,1,LB,3,110,4.5,0.20%,12,1,England,0,0
Maya Yoshida,Southampton,28,4,CB,3,317,5,1.10%,78,4,Japan,0,0
Nathan Redmond,Southampton,23,2,RW,1,706,6.5,11.30%,126,1,England,0,1
Oriol Romeu,Southampton,25,3,DM,2,476,4.5,4.20%,80,2,Spain,0,0
Pierre-Emile Hojbjerg,Southampton,21,1,CM,2,368,4.5,0.40%,38,2,Denmark,0,1
Ryan Bertrand,Southampton,27,3,LB,3,578,5.5,11.20%,123,1,England,0,0
Sam McQueen,Southampton,22,2,LM,2,221,4.5,0.10%,23,1,England,0,0
Shane Long,Southampton,30,4,CF,1,703,6,0.30%,57,2,Ireland,0,0
Sofiane Boufal,Southampton,23,2,AM,1,590,6,0.30%,40,4,Morocco,0,1
Steven Davis,Southampton,32,5,CM,2,310,5,0.20%,77,2,Northern Ireland,0,0
Virgil van Dijk,Southampton,26,3,CB,3,1102,5.5,4.00%,75,2,Netherlands,0,0
Bruno Martins Indi,Stoke City,25,3,CB,3,478,4.9,0.00%,4,2,Netherlands,1,1
Charlie Adam,Stoke City,31,4,CM,2,561,5,0.10%,59,2,Scotland,0,0
Darren Fletcher,Stoke City,33,5,CM,2,512,4.9,0.70%,36,2,Scotland,0,1
Eric Maxim Choupo-Moting,Stoke City,28,4,CF,1,786,5.7,6%,56,4,Cameroon,0,1
Erik Pieters,Stoke City,28,4,LB,3,134,5,1.30%,103,2,Netherlands,0,0
Geoff Cameron,Stoke City,32,5,CB,3,260,4.5,0.50%,58,4,United States,0,0
Glen Johnson,Stoke City,32,5,RB,3,512,4.5,0.80%,56,1,England,0,0
Jack Butland,Stoke City,24,2,GK,4,402,5,2.80%,20,1,England,0,0
Jakob Haugaard,Stoke City,25,3,GK,4,84,4,0,0,2,Denmark,1,1
Jesé Rodríguez Ruíz,Stoke City,24,2,LW,1,524,5.5,3,25,2,Spain,1,1
Joe Allen,Stoke City,27,3,CM,2,523,5.5,6.00%,118,2,Wales,0,1
Josh Tymon,Stoke City,18,1,LB,3,120,4.5,0.10%,9,1,England,0,0
Kurt Zouma,Stoke City,22,2,CB,3,723,5.5,0.80%,15,2,France,0,0
Lee Grant,Stoke City,34,6,GK,4,480,4.5,1.20%,106,1,England,0,1
Mame Biram Diouf,Stoke City,29,4,CF,1,310,5.5,0.40%,51,4,Senegal,0,0
Kevin Wimmer,Stoke City,24,2,CB,3,355,4.5,0.30%,2,2,Austria,0,1
Peter Crouch,Stoke City,36,6,CF,1,2656,5,2.90%,79,1,England,0,0
Ramadan Sobhi,Stoke City,20,1,LW,1,461,5,1.10%,36,4,Egypt,0,1
Ryan Shawcross,Stoke City,29,4,CB,3,281,5,1.00%,94,2,England,0,0
Saido Berahino,Stoke City,23,2,CF,1,841,6,0.80%,26,1,England,0,0
Stephen Ireland,Stoke City,30,4,CM,2,122,4.5,0,0,2,Ireland,1,1
Xherdan Shaqiri,Stoke City,25,3,RW,1,1000,6,3.20%,80,2,Switzerland,0,0
Alfie Mawson,Swansea,23,2,CB,3,509,5,1.80%,94,1,England,0,1
Àngel Rangel Zaragoza,Swansea,34,6,RB,3,137,4,18.80%,26,2,Spain,0,0
Federico Fernandez,Swansea,28,4,CB,3,116,4.5,0.40%,63,3,Argentina,0,0
Jay Fulton,Swansea,23,2,CM,2,104,4.5,0.10%,19,2,Scotland,0,0
Jordan Ayew,Swansea,25,3,CF,1,676,5,2.00%,39,4,Ghana,0,0
Kristoffer Nordfeldt,Swansea,28,4,GK,4,82,4,1.70%,3,2,Sweden,0,0
Kyle Naughton,Swansea,28,4,RB,3,170,4.5,2.00%,82,1,England,0,0
Leon Britton,Swansea,34,6,CM,2,218,4.5,0.10%,32,1,England,0,0
Leroy Fer,Swansea,27,3,CM,2,411,5.5,0.60%,95,2,Netherlands,0,1
Luciano Narsingh,Swansea,26,3,RW,1,448,5,0.10%,25,2,Netherlands,0,0
Lukasz Fabianski,Swansea,32,5,GK,4,285,4.5,6.20%,116,2,Poland,0,0
Martin Olsson,Swansea,29,4,LB,3,458,5,0.30%,52,2,Sweden,0,0
Mike van der Hoorn,Swansea,24,2,CB,3,154,4.5,0.10%,16,2,Netherlands,0,1
Nathan Dyer,Swansea,29,4,RW,1,313,4.5,0.10%,12,1,England,0,0
Oliver McBurnie,Swansea,21,1,CF,1,149,4.5,0.70%,5,2,Scotland,0,0
Renato Júnior Luz Sanches,Swansea,19,1,CM,2,568,4.7,0.50%,13,2,Portugal,1,1
Roque Mesa Quevedo,Swansea,28,4,CM,2,110,4.5,0.90%,0,2,Spain,1,0
Sung Yueng Ki,Swansea,28,4,DM,2,478,5,0.00%,41,4,South Korea,0,0
Tammy Abraham,Swansea,19,1,CF,1,1227,5.5,3.30%,0,1,England,0,0
Tom Carroll,Swansea,25,3,CM,2,432,4.5,4.30%,52,1,England,0,0
Wayne Routledge,Swansea,32,5,LW,1,264,5.5,0.10%,74,1,England,0,0
Wilfried Bony,Swansea,28,4,CF,1,478,5.7,0.20%,9,4,Ivory Coast,0,1
Tyler Reid,Swansea,19,1,CM,2,98,4.9,0.00%,21,1,England,0,0
Ben Davies,Tottenham Hotspur,24,2,LB,3,396,5.5,1.80%,90,2,Wales,0,0
Christian Eriksen,Tottenham Hotspur,25,3,AM,1,1130,9.5,12.00%,218,2,Denmark,0,0
Danny Rose,Tottenham Hotspur,27,3,LB,3,848,6.5,0.60%,84,1,England,0,0
Dele Alli,Tottenham Hotspur,21,1,CM,2,4626,9.5,38.60%,225,1,England,0,0
Eric Dier,Tottenham Hotspur,23,2,DM,2,1239,5,3.50%,93,1,England,0,0
Erik Lamela,Tottenham Hotspur,25,3,RW,1,672,6.5,0.10%,28,3,Argentina,0,0
Georges-Kévin Nkoudou,Tottenham Hotspur,22,2,LW,1,510,5.5,0.10%,8,2,France,0,1
Harry Kane,Tottenham Hotspur,23,2,CF,1,4161,12.5,35.10%,224,1,England,0,0
Harry Winks,Tottenham Hotspur,21,1,CM,2,806,5,0.00%,30,1,England,0,0
Hugo Lloris,Tottenham Hotspur,30,4,GK,4,847,5.5,12.60%,143,2,France,0,0
Jan Vertonghen,Tottenham Hotspur,30,4,CB,3,511,6,9.00%,126,2,Belgium,0,0
Kieran Trippier,Tottenham Hotspur,26,3,RB,3,525,5.5,17.30%,51,1,England,0,0
Michel Vorm,Tottenham Hotspur,33,5,GK,4,252,5,0.10%,17,2,Netherlands,0,0
Moussa Dembélé,Tottenham Hotspur,30,4,CM,2,1161,5,1.80%,76,2,Belgium,0,0
Moussa Sissokho,Tottenham Hotspur,27,3,CM,2,1162,5.5,0.30%,43,2,France,0,1
Heung Min Son,Tottenham Hotspur,25,3,LW,1,2185,8,1.60%,174,4,South Korea,0,0
Toby Alderweireld,Tottenham Hotspur,28,4,CB,3,756,6,13.30%,120,2,Belgium,0,0
Victor Wanyama,Tottenham Hotspur,26,3,DM,2,1002,5,3.10%,103,4,Kenya,0,1
Davinson Sánchez,Tottenham Hotspur,21,1,CB,3,387,6,0.70%,37,3,Colombia,1,1
Kyle Walker-Peters,Tottenham Hotspur,20,1,RB,3,541,4.1,0.90%,7,1,England,0,0
Paulo Gazzaniga,Tottenham Hotspur,25,3,GK,4,111,4.4,0.10%,9,3,Argentina,1,1
Serge Aurier,Tottenham Hotspur,24,2,RB,3,722,5.9,0.30%,9,4,Ivory Coast,1,1
Abdoulaye Doucouré,Watford,24,2,CM,2,124,5,0.00%,38,2,France,0,0
Adrian Mariappa,Watford,30,4,CB,3,201,4,5.40%,15,3,Jamaica,0,1
Andre Gray,Watford,26,3,CF,1,687,6.5,1.70%,108,1,England,0,0
Craig Cathcart,Watford,28,4,CB,3,128,4.5,0.00%,31,2,Northern Ireland,0,0
Daryl Janmaat,Watford,27,3,RB,3,242,5,0.30%,50,2,Netherlands,0,1
Etienne Capoue,Watford,29,4,DM,2,412,5.5,8.00%,131,2,France,0,0
Heurelho Gomes,Watford,36,6,GK,4,439,4.5,2.20%,113,3,Brazil,0,0
Isaac Success,Watford,21,1,LW,1,474,5.5,0.10%,28,4,Nigeria,0,1
Jose Holebas,Watford,33,5,LB,3,345,5,0.60%,87,2,Greece,0,0
Christian Kabasele,Watford,26,3,CB,3,177,4.5,0.20%,35,2,Belgium,0,1
Mauro Zárate,Watford,30,4,SS,1,473,5.5,0.00%,8,3,Argentina,0,0
Miguel Britos,Watford,32,5,CB,3,131,4.5,0.60%,71,3,Uruguay,0,0
Molla Wagué,Watford,26,3,CB,3,171,4.5,0.00%,0,4,Mali,0,0
Nathaniel Chalobah,Watford,22,2,DM,2,977,4.5,2.30%,12,1,England,0,0
Roberto Pereyra,Watford,26,3,AM,1,398,6,0.10%,43,3,Argentina,0,1
Sebastian Prodl,Watford,30,4,CB,3,169,4.5,0.80%,67,2,Austria,0,0
Stefano Okaka,Watford,27,3,CF,1,708,5.5,0.20%,43,2,Italy,0,1
Tom Cleverley,Watford,27,3,CM,2,703,5,0.20%,55,1,England,0,0
Troy Deeney,Watford,29,4,CF,1,1141,6.5,3.40%,130,1,England,0,0
Will Hughes,Watford,22,2,CM,2,258,5,0.60%,0,1,England,1,0
Younès Kaboul,Watford,31,4,CB,3,263,4.5,0.10%,57,2,France,0,1
Marvin Zeegelaar,Watford,26,3,LB,3,256,4.4,0.70%,23,2,Netherlands,1,1
Orestis Karnezis,Watford,31,4,GK,4,231,4.5,0.00%,0,2,Greece,1,1
Ahmed Hegazy,West Bromwich Albion,26,3,CB,3,82,4.5,1.30%,0,4,Egypt,1,0
Allan Nyom,West Bromwich Albion,29,4,RB,3,236,5,0.30%,74,4,Cameroon,0,1
Ben Foster,West Bromwich Albion,34,6,GK,4,484,4.5,20.70%,113,1,England,0,0
Boaz Myhill,West Bromwich Albion,34,6,GK,4,100,4,5.30%,0,2,Wales,0,0
Chris Brunt,West Bromwich Albion,32,5,LM,2,242,5.5,0.80%,99,2,Northern Ireland,0,0
Claudio Yacob,West Bromwich Albion,30,4,DM,2,165,4.5,0.40%,54,3,Argentina,0,0
Craig Dawson,West Bromwich Albion,27,3,RB,3,215,5,6.00%,102,1,England,0,0
Gareth Barry,West Bromwich Albion,36,6,DM,2,1331,4.5,1.70%,68,1,England,0,0
Gareth McAuley,West Bromwich Albion,37,6,CB,3,458,5,11.80%,131,2,Northern Ireland,0,0
Hal Robson-Kanu,West Bromwich Albion,28,4,LW,1,766,5,0.70%,52,2,Wales,0,1
Jake Livermore,West Bromwich Albion,27,3,DM,2,564,5,0.20%,77,1,England,0,0
James McClean,West Bromwich Albion,28,4,LW,1,454,5,0.20%,52,2,Ireland,0,0
James Morrison,West Bromwich Albion,31,4,CM,2,238,5.5,0.00%,84,2,Scotland,0,0
Jay Rodriguez,West Bromwich Albion,27,3,CF,1,472,6,2.90%,73,1,England,0,0
Jonny Evans,West Bromwich Albion,29,4,CB,3,375,5,1.60%,79,2,Northern Ireland,0,0
Kieran Gibbs,West Bromwich Albion,27,3,LB,3,489,5,0.50%,45,1,England,0,0
Matt Phillips,West Bromwich Albion,26,3,RW,1,454,6,5.60%,115,2,Scotland,0,1
Nacer Chadli,West Bromwich Albion,27,3,LW,1,570,6,2.40%,110,2,Belgium,0,1
Salomón Rondón,West Bromwich Albion,27,3,CF,1,502,6.5,2.00%,118,3,Venezuela,0,0
Sam Field,West Bromwich Albion,19,1,CM,2,15,4.5,0.10%,9,1,England,0,0
Alex Palmer,West Bromwich Albion,20,1,GK,4,21,4,0.20%,0,1,England,0,0
Grzegorz Krychowiak,West Bromwich Albion,27,3,CM,2,178,5,0.30%,25,2,Poland,1,1
Oliver Burke,West Bromwich Albion,20,1,CM,2,134,5.1,0.00%,6,1,England,0,1
Taylor Morrison,West Bromwich Albion,17,1,CM,2,212,5.4,0.00%,13,1,England,0,0
Aaron Cresswell,West Ham United,27,3,LB,3,380,5,1.30%,60,1,England,0,0
Adrián San Miguel Castillo,West Ham United,30,4,GK,4,266,4.5,0.80%,64,2,Spain,0,0
André Ayew,West Ham United,27,3,LW,1,845,7,3.40%,89,4,Ghana,0,1
Andy Carroll,West Ham United,28,4,CF,1,1212,6,0.40%,69,1,England,0,0
Angelo Ogbonna,West Ham United,29,4,CB,3,247,4.5,1.10%,45,2,Italy,0,0
Antonio Martínez López,West Ham United,20,1,CM,2,115,4,0.20%,18,2,Spain,1,1
Arthur Masuaku,West Ham United,23,2,LB,3,199,4.5,0.20%,34,4,Congo DR,0,1
Cheikhou Kouyaté,West Ham United,27,3,DM,2,284,5,0.10%,79,4,Senegal,0,0
Diafra Sakho,West Ham United,27,3,CF,1,214,5.5,0.10%,12,4,Senegal,0,0
Doneil Henry,West Ham United,24,2,CB,3,108,4.5,0.20%,14,1,England,0,0
Edimilson Fernandes,West Ham United,21,1,CM,2,288,4.5,0.40%,38,2,Switzerland,0,1
James Collins,West Ham United,33,5,CB,3,187,4.5,0.90%,69,2,Wales,0,0
Javier Hernández,West Ham United,29,4,CF,1,637,6.8,8.20%,41,3,Mexico,1,1
Joe Hart,West Ham United,30,4,GK,4,842,4.4,8.10%,40,1,England,1,1
José Miguel da Rocha Fonte,West Ham United,33,5,CB,3,867,5,2.10%,98,2,Portugal,0,1
Manuel Lanzini,West Ham United,24,2,AM,1,493,7,7.20%,133,3,Argentina,0,0
Mark Noble,West Ham United,30,4,CM,2,425,5.5,0.10%,71,1,England,0,0
Marko Arnautovic,West Ham United,28,4,LW,1,579,7,0.70%,117,2,Austria,0,1
Michail Antonio,West Ham United,27,3,RW,1,1142,7.5,0.50%,132,1,England,0,0
Pablo Zabaleta,West Ham United,32,5,RB,3,698,5,2.70%,45,3,Argentina,0,0
Pedro Mba Obiang Avomo,West Ham United,25,3,CM,2,286,4.5,0.30%,55,2,Spain,0,0
Sam Byram,West Ham United,23,2,RB,3,198,4.5,0.30%,29,1,England,0,0
Winston Reid,West Ham United,29,4,CB,3,338,5,0.40%,102,4,New Zealand,0,0
