name,club,age,special,height_cm,weight_kg,eur_value,eur_wage,overall,pac,sho,pas,dri,def,phy,international_reputation,preferred_foot
Matteo Darmian,Manchester United,27,2005,182,70,13500000,120000,80,77,58,69,75,80,73,2,Right
Michael Carrick,Manchester United,35,1992,188,74,3500000,86000,80,44,65,81,72,75,66,3,Right
Nemanja Matic,Manchester United,28,2123,194,85,25000000,180000,84,64,70,77,72,80,87,3,Left
Paul Pogba,Manchester United,24,2238,191,84,66500000,195000,87,74,79,84,85,68,88,4,Right
Phil Jones,Manchester United,25,1884,185,71,14500000,115000,80,61,56,65,62,80,80,2,Right
Romelu Lukaku,Manchester United,24,1998,190,94,59000000,210000,86,83,85,70,74,34,84,3,Left
Sergio Romero,Manchester United,30,1251,192,87,9500000,97000,80,78,76,81,82,45,78,3,Right
Victor Lindelöf,Manchester United,22,1869,187,80,15000000,105000,79,70,48,62,61,79,79,2,Right
Zlatan Ibrahimovic,Manchester United,35,2075,195,95,27000000,240000,88,65,88,81,82,32,82,5,Right
Aleksandar Mitrovic,Newcastle United,22,1697,187,90,9000000,55000,75,59,75,52,67,24,81,1,Right
Ayoze Pérez Gutiérrez,Newcastle United,23,1829,178,72,8000000,50000,74,75,72,62,80,25,64,1,Right
Chancel Mbemba,Newcastle United,22,1799,182,82,9000000,54000,76,74,54,53,66,75,80,1,Right
Christian Atsu,Newcastle United,25,1882,165,65,9500000,66000,76,92,67,70,79,35,55,1,Left
Ciaran Clark,Newcastle United,27,1806,185,88,7500000,63000,76,62,52,55,57,77,76,2,Left
DeAndre Yedlin,Newcastle United,23,1932,172,75,4700000,45000,73,93,51,64,74,67,76,1,Right
Dwight Gayle,Newcastle United,26,1768,174,78,8500000,63000,75,83,76,55,72,25,60,1,Right
Florian Lejeune,Newcastle United,26,1821,189,89,13500000,75000,79,49,57,59,60,78,85,2,Right
Henri Saivet,Newcastle United,26,2099,175,73,11000000,68000,77,74,71,77,79,65,70,2,Right
Isaac Hayden,Newcastle United,22,1753,185,79,3000000,32000,71,62,49,61,66,69,76,1,Right
Jack Colback,Newcastle United,27,1895,177,77,3900000,53000,73,63,59,68,69,69,70,1,Left
Jamaal Lascelles,Newcastle United,23,1557,188,89,7000000,45000,74,62,27,49,54,75,76,1,Right
Javier Manquillo Gaitán,Newcastle United,23,1891,178,76,9000000,54000,76,76,45,65,71,73,72,1,Right
Jesús Gámez Duarte,Newcastle United,32,1898,177,75,4300000,63000,76,66,51,63,66,78,81,2,Right
Jonjo Shelvey,Newcastle United,25,2030,184,80,11500000,66000,77,62,73,79,73,60,77,2,Right
Karl Darlow,Newcastle United,26,1174,190,88,1600000,30000,70,70,69,64,73,55,66,1,Right
Massadio Haïdara,Newcastle United,24,1847,181,76,2000000,32000,70,73,51,62,69,69,74,1,Left
Matt Ritchie,Newcastle United,27,1994,172,76,7000000,58000,75,75,75,72,76,51,68,1,Left
Mohamed Diamé,Newcastle United,30,2035,184,86,3800000,58000,73,73,70,67,78,73,77,2,Right
Paul Dummett,Newcastle United,25,1784,182,77,2400000,36000,71,65,40,62,67,72,71,1,Left
Rob Elliot,Newcastle United,31,1128,190,94,1400000,30000,71,70,69,69,71,48,70,1,Left
Rolando Aarons,Newcastle United,21,1686,178,76,4400000,32000,72,84,62,65,77,32,49,1,Left
Alex McCarthy,Southampton,27,1216,193,79,5500000,49000,75,76,73,61,78,57,74,1,Right
Cédric Ricardo Alves Soares,Southampton,25,2118,172,67,13000000,82000,79,82,67,72,76,76,72,2,Right
Charlie Austin,Southampton,27,1831,188,84,11000000,85000,78,65,79,56,68,40,76,1,Right
Dušan Tadic,Southampton,28,1954,181,76,15000000,98000,80,70,67,80,83,37,63,2,Left
Fraser Forster,Southampton,29,1178,201,93,7000000,61000,77,74,78,69,80,34,76,2,Right
Jack Stephens,Southampton,23,1684,185,75,3000000,37000,71,61,41,55,62,72,69,1,Right
James Ward-Prowse,Southampton,22,2056,173,66,15000000,68000,78,66,66,84,75,61,67,2,Right
Jan Bednarek,Southampton,21,1458,189,77,1400000,27000,68,66,22,48,46,66,74,1,Right
Jérémy Pied,Southampton,28,2071,173,69,3200000,63000,73,71,68,74,75,72,73,1,Right
Josh Sims,Southampton,20,1629,168,65,1700000,31000,67,83,59,60,72,29,53,1,Left
Manolo Gabbiadini,Southampton,25,1893,186,81,16500000,98000,79,74,81,71,78,25,70,2,Left
Mario Lemina,Southampton,23,2073,184,85,12000000,68000,77,78,66,77,79,67,75,2,Right
Matt Targett,Southampton,21,1725,183,70,1600000,27000,69,75,37,60,64,66,68,1,Left
Maya Yoshida,Southampton,28,1727,189,78,5500000,63000,75,62,41,51,61,76,75,1,Right
Nathan Redmond,Southampton,23,1783,173,69,13000000,68000,77,87,69,70,82,24,52,2,Right
Oriol Romeu,Southampton,25,1837,183,83,13000000,82000,79,57,39,65,64,78,85,2,Right
Pierre-Emile Hojbjerg,Southampton,21,1976,185,84,9000000,52000,75,64,61,73,75,69,77,2,Right
Ryan Bertrand,Southampton,27,2027,179,85,12000000,86000,80,79,53,71,77,79,75,2,Left
Sam McQueen,Southampton,22,1761,180,70,950000,31000,67,75,48,61,70,63,68,1,Left
Shane Long,Southampton,30,1897,178,70,7500000,85000,76,83,72,60,74,37,80,2,Right
Sofiane Boufal,Southampton,23,1842,170,60,17000000,90000,79,82,71,73,86,36,43,2,Right
Steven Davis,Southampton,32,2024,173,70,6500000,79000,77,64,61,77,77,67,74,2,Right
Virgil van Dijk,Southampton,25,2011,193,92,27500000,89000,83,73,60,67,69,83,85,3,Right
Bruno Martins Indi,Stoke City,25,1719,185,76,13500000,71000,79,57,42,59,57,79,81,2,Left
Charlie Adam,Stoke City,31,1967,185,83,4800000,57000,74,43,75,79,67,58,72,2,Left
Darren Fletcher,Stoke City,33,1990,183,83,4500000,68000,76,49,66,74,68,80,74,2,Right
Eric Maxim Choupo-Moting,Stoke City,28,1888,191,91,9000000,71000,77,77,73,68,83,36,72,2,Right
Erik Pieters,Stoke City,28,1872,183,84,5500000,55000,75,66,40,65,67,78,78,2,Left
Geoff Cameron,Stoke City,31,1937,191,84,5000000,62000,76,63,56,67,68,78,77,2,Right
Glen Johnson,Stoke City,32,2006,182,78,3700000,52000,75,71,63,72,76,73,72,2,Right
Jack Butland,Stoke City,24,1225,196,95,18000000,50000,81,81,83,72,85,41,78,2,Right
Jakob Haugaard,Stoke City,25,1016,199,87,450000,11000,64,64,65,57,64,46,61,1,Left
Jesé Rodríguez Ruíz,Stoke City,24,1807,178,72,11500000,64000,77,83,71,73,81,24,56,2,Right
Joe Allen,Stoke City,27,1963,168,62,10000000,68000,77,62,63,73,77,70,70,2,Right
Josh Tymon,Stoke City,18,1515,178,74,375000,4000,60,67,36,49,62,58,58,1,Left
Kevin Wimmer,Stoke City,24,1669,187,85,12000000,53000,78,57,27,61,64,79,75,2,Left
Kurt Zouma,Stoke City,22,1861,190,96,15000000,96000,79,67,50,58,55,79,83,2,Right
Lee Grant,Stoke City,34,1187,193,83,1600000,42000,73,74,70,69,75,43,72,1,Right
Mame Biram Diouf,Stoke City,29,1959,185,79,9000000,77000,77,83,75,61,68,65,81,2,Right
Peter Crouch,Stoke City,36,1683,201,75,2000000,47000,74,33,75,68,66,32,69,2,Right
Ramadan Sobhi,Stoke City,20,1840,183,75,9500000,45000,74,75,62,71,77,43,65,1,Right
Ryan Shawcross,Stoke City,29,1671,191,76,10000000,78000,79,49,44,52,50,80,84,2,Right
Saido Berahino,Stoke City,23,1777,180,82,10500000,65000,76,79,77,57,76,27,61,2,Right
Stephen Ireland,Stoke City,30,1819,173,67,2900000,41000,72,54,65,70,72,45,59,1,Right
Xherdan Shaqiri,Stoke City,25,2073,169,72,26500000,85000,82,83,77,78,85,46,65,3,Left
Alfie Mawson,Swansea City,23,1538,188,87,6000000,45000,73,53,43,42,53,73,75,1,Right
Àngel Rangel Zaragoza,Swansea City,34,1934,178,82,1600000,52000,74,50,59,71,72,79,72,2,Right
Federico Fernandez,Swansea City,28,1599,189,83,10000000,78000,79,48,28,51,50,81,76,2,Right
Jay Fulton,Swansea City,23,1802,182,78,2700000,32000,70,65,54,63,66,70,73,1,Right
Jordan Ayew,Swansea City,25,1951,182,81,9500000,71000,76,76,74,70,79,37,74,2,Right
Kristoffer Nordfeldt,Swansea City,28,1189,190,85,3300000,45000,73,73,66,66,78,53,74,2,Right
Kyle Naughton,Swansea City,28,1854,180,73,5500000,55000,75,74,52,65,67,74,70,2,Right
Leon Britton,Swansea City,34,1893,167,65,2700000,62000,77,46,53,77,78,69,63,2,Right
Leroy Fer,Swansea City,27,2078,188,90,10000000,68000,77,71,75,72,75,70,81,2,Right
Luciano Narsingh,Swansea City,26,1709,177,77,7000000,62000,75,91,65,67,76,24,58,2,Right
Lukasz Fabianski,Swansea City,32,1206,190,83,8500000,60000,80,77,84,70,84,48,78,2,Right
Martin Olsson,Swansea City,29,1989,178,81,5000000,55000,75,82,62,67,71,73,76,2,Left
Mike van der Hoorn,Swansea City,24,1534,190,83,4400000,45000,73,38,45,47,47,75,74,1,Right
Nathan Dyer,Swansea City,29,1876,167,62,6500000,60000,75,83,72,67,80,38,63,2,Right
Oliver McBurnie,Swansea City,21,1457,191,77,825000,10000,63,67,64,44,55,21,61,1,Right
Renato Júnior Luz Sanches,Swansea City,19,2110,176,70,12000000,49000,76,78,72,69,78,70,82,3,Right
Roque Mesa Quevedo,Swansea City,28,2009,171,74,18000000,85000,82,77,61,76,77,73,80,2,Right
Sung Yueng Ki,Swansea City,28,2036,186,79,10500000,71000,78,65,74,81,75,63,70,2,Right
Tammy Abraham,Swansea City,19,1653,190,82,7500000,56000,73,80,70,53,67,25,70,1,Right
Tom Carroll,Swansea City,25,1786,178,66,5000000,55000,73,66,58,74,70,52,51,1,Left
Tyler Reid,Swansea City,19,1474,186,83,300000,4000,59,73,32,41,56,59,65,1,Right
Wayne Routledge,Swansea City,32,1809,170,77,5000000,57000,75,72,66,70,81,36,61,2,Right
Wilfried Bony,Swansea City,28,1880,182,88,13000000,92000,79,66,80,59,72,39,81,2,Right
Ben Davies,Tottenham Hotspur,24,1974,182,76,13000000,79000,79,76,56,72,74,78,76,2,Left
Christian Eriksen,Tottenham Hotspur,25,2064,182,76,65000000,165000,87,75,78,88,84,47,63,3,Right
Danny Rose,Tottenham Hotspur,26,2117,174,76,21000000,99000,82,81,63,73,78,81,78,3,Left
Davinson Sánchez,Tottenham Hotspur,21,1745,187,79,21500000,70000,81,71,47,50,59,81,83,2,Right
Dele Alli,Tottenham Hotspur,21,2122,188,80,43000000,115000,84,76,81,77,82,64,78,3,Right
Eric Dier,Tottenham Hotspur,23,2045,188,90,25000000,85000,82,72,63,71,65,81,85,2,Right
Erik Lamela,Tottenham Hotspur,25,2047,181,80,18500000,96000,80,76,77,79,82,45,67,2,Left
Georges-Kévin Nkoudou,Tottenham Hotspur,22,1906,175,73,12000000,73000,77,91,72,71,79,35,62,1,Right
Harry Kane,Tottenham Hotspur,23,2062,188,86,59000000,165000,86,73,87,72,78,42,83,3,Right
Harry Winks,Tottenham Hotspur,21,1866,176,74,9000000,55000,74,73,58,74,74,57,65,1,Right
Heung Min Son,Tottenham Hotspur,24,1975,183,77,28000000,95000,82,86,83,75,83,25,66,3,Right
Hugo Lloris,Tottenham Hotspur,30,1318,188,82,38000000,165000,88,88,86,68,90,64,82,4,Left
Jan Vertonghen,Tottenham Hotspur,30,2079,189,88,28500000,130000,85,67,65,73,70,85,81,3,Left
Kieran Trippier,Tottenham Hotspur,26,2054,178,72,10000000,76000,78,77,56,77,75,76,75,2,Right
Kyle Walker-Peters,Tottenham Hotspur,20,1618,174,64,1100000,14000,65,79,36,55,63,63,61,1,Right
Michel Vorm,Tottenham Hotspur,33,1292,184,84,6500000,74000,79,78,76,72,82,55,75,2,Right
Moussa Dembélé,Tottenham Hotspur,29,2186,185,88,25000000,115000,83,76,72,77,85,75,84,3,Left
Moussa Sissoko,Tottenham Hotspur,27,2141,187,91,11000000,84000,78,77,74,75,76,72,85,2,Right
Paulo Gazzaniga,Tottenham Hotspur,25,1341,196,90,1700000,35000,70,67,73,84,70,64,68,1,Right
Serge Aurier,Tottenham Hotspur,24,2136,176,76,19000000,79000,81,84,66,73,77,78,84,2,Right
Toby Alderweireld,Tottenham Hotspur,28,2047,187,91,40500000,165000,86,66,58,72,65,87,80,3,Right
Victor Wanyama,Tottenham Hotspur,26,2103,184,87,23000000,99000,82,64,66,70,74,82,91,2,Right
Abdoulaye Doucouré,Watford,24,2023,182,69,12000000,45000,78,66,71,73,76,74,81,2,Right
Adrian Mariappa,Watford,30,1706,180,78,2200000,32000,72,68,34,57,63,75,72,1,Right
Andre Gray,Watford,26,1860,180,78,11000000,63000,77,89,76,62,72,29,78,1,Right
Christian Kabasele,Watford,26,1782,188,84,6500000,44000,75,73,50,49,62,74,79,1,Right
Craig Cathcart,Watford,28,1609,190,83,3200000,46000,73,56,37,54,54,74,73,1,Right
Daryl Janmaat,Watford,27,2048,185,80,7500000,53000,77,74,63,70,74,74,81,2,Right
Etienne Capoue,Watford,28,1973,190,87,7500000,60000,76,58,70,70,73,74,76,2,Right
Heurelho Silva Gomes,Watford,36,1253,191,91,1700000,33000,79,81,75,60,85,51,77,2,Right
Isaac Success,Watford,21,1785,182,90,6500000,38000,73,84,68,64,76,29,71,1,Right
Jose Holebas,Watford,33,2112,185,81,4000000,53000,78,80,67,70,74,76,82,2,Left
Marvin Zeegelaar,Watford,26,1984,186,82,5500000,44000,75,78,65,67,73,71,80,1,Left
Mauro Zárate,Watford,30,1951,176,76,8500000,63000,77,77,79,68,85,33,65,2,Right
Miguel Britos,Watford,31,1603,190,85,4500000,44000,75,50,34,50,52,76,74,2,Left
Molla Wagué,Watford,26,1491,191,87,6000000,24000,74,58,33,41,44,74,81,1,Right
Nathaniel Chalobah,Watford,22,1938,185,76,9000000,38000,75,67,61,70,74,73,73,1,Right
Orestis Karnezis,Watford,31,1212,190,81,13500000,30000,82,80,83,70,84,39,80,2,Right
Roberto Pereyra,Watford,26,2078,182,77,18000000,69000,80,78,68,80,81,66,68,2,Right
Sebastian Prodl,Watford,30,1526,196,97,9500000,63000,79,37,36,50,40,80,81,2,Right
Stefano Okaka,Watford,27,1734,186,90,9500000,63000,77,73,74,57,72,27,83,2,Right
Tom Cleverley,Watford,27,1972,175,67,8000000,58000,76,67,69,75,75,58,65,2,Right
Troy Deeney,Watford,29,1918,183,90,10500000,65000,78,65,81,65,69,35,85,2,Right
Will Hughes,Watford,22,1893,185,74,10000000,42000,75,66,59,72,77,65,65,1,Left
Younès Kaboul,Watford,31,1720,193,87,4500000,44000,75,52,44,56,55,74,79,2,Right
Ahmed Hegazy,West Bromwich Albion,26,1411,195,83,4200000,52000,73,45,20,41,47,74,76,1,Right
Alex Palmer,West Bromwich Albion,20,918,183,72,110000,4000,56,63,51,60,60,32,50,1,Right
Allan Nyom,West Bromwich Albion,29,1863,188,81,6500000,65000,77,75,47,63,67,78,83,2,Right
Ben Foster,West Bromwich Albion,34,1241,193,90,6000000,60000,80,79,79,73,84,49,77,2,Left
Boaz Myhill,West Bromwich Albion,34,1190,191,92,1600000,42000,73,74,71,69,78,44,70,1,Right
Chris Brunt,West Bromwich Albion,32,2046,185,84,5000000,57000,75,59,74,79,75,65,67,2,Left
Claudio Yacob,West Bromwich Albion,29,1856,181,73,10000000,78000,79,43,59,66,69,78,75,2,Right
Craig Dawson,West Bromwich Albion,27,1730,188,85,6000000,52000,75,65,43,59,60,76,76,2,Right
Gareth Barry,West Bromwich Albion,36,1983,183,78,1700000,53000,79,32,65,79,68,78,76,2,Left
Gareth McAuley,West Bromwich Albion,37,1566,191,89,1200000,44000,77,33,43,50,42,79,76,2,Right
Grzegorz Krychowiak,West Bromwich Albion,27,1992,186,85,17500000,81000,81,65,58,72,66,79,86,3,Right
Hal Robson-Kanu,West Bromwich Albion,28,1728,183,83,800000,38000,67,71,67,60,68,37,72,1,Left
Jake Livermore,West Bromwich Albion,27,2004,180,76,7500000,57000,75,64,66,73,72,71,80,2,Right
James McClean,West Bromwich Albion,28,2003,180,70,5500000,60000,74,77,67,69,76,58,75,2,Left
James Morrison,West Bromwich Albion,31,2018,178,64,8000000,68000,77,65,76,76,77,60,66,2,Right
Jay Rodriguez,West Bromwich Albion,27,1863,185,80,8000000,68000,76,77,75,68,76,32,67,2,Right
Jonny Evans,West Bromwich Albion,29,1706,188,77,10000000,78000,79,65,32,59,52,80,74,2,Right
Kieran Gibbs,West Bromwich Albion,27,1990,179,70,8500000,62000,78,79,55,70,74,77,72,2,Left
Matt Phillips,West Bromwich Albion,26,1859,183,75,10500000,68000,77,87,71,69,78,35,71,1,Right
Nacer Chadli,West Bromwich Albion,27,2006,187,80,11000000,68000,78,76,77,75,78,45,76,2,Right
Oliver Burke,West Bromwich Albion,20,1686,188,74,3900000,32000,70,90,62,60,71,36,69,1,Right
Salomón Rondón,West Bromwich Albion,27,1792,186,86,16000000,89000,80,75,77,56,74,31,80,2,Right
Sam Field,West Bromwich Albion,19,1678,185,65,950000,9000,64,60,49,63,62,52,63,1,Left
Taylor Morrison,West Bromwich Albion,17,1481,181,79,190000,4000,58,75,34,39,61,57,58,1,Left
Aaron Cresswell,West Ham United,27,2025,170,66,7000000,83000,76,76,59,72,76,73,68,2,Left
Adrián San Miguel Castillo,West Ham United,30,1246,190,80,8000000,80000,79,81,76,69,83,45,75,2,Right
André Ayew,West Ham United,27,2086,176,72,13000000,110000,79,75,74,75,79,56,77,3,Left
Andy Carroll,West Ham United,28,1913,193,79,10500000,105000,78,62,78,61,68,49,85,2,Left
Angelo Ogbonna,West Ham United,29,1726,191,86,10000000,105000,79,70,40,58,60,81,76,2,Left
Antonio Martínez López,West Ham United,20,1483,180,70,675000,13000,62,72,61,47,58,21,56,1,Right
Arthur Masuaku,West Ham United,23,2016,179,70,7500000,60000,75,86,66,70,78,70,73,1,Left
Cheikhou Kouyaté,West Ham United,27,1983,189,83,8500000,83000,77,74,65,61,69,77,88,2,Right
Diafra Sakho,West Ham United,27,1797,184,79,8000000,83000,75,73,72,58,72,31,72,1,Right
Doneil Henry,West Ham United,24,1575,188,82,750000,17000,66,63,44,49,48,63,75,1,Right
Edimilson Fernandes,West Ham United,21,1828,190,77,1900000,35000,69,80,67,67,71,52,69,1,Right
James Collins,West Ham United,33,1617,188,83,3100000,83000,76,31,47,53,43,77,80,2,Right
Javier Hernández,West Ham United,29,1917,175,73,22000000,135000,82,79,80,66,78,31,59,3,Right
Joe Hart,West Ham United,30,1312,196,91,14000000,110000,82,81,78,75,83,60,80,3,Right
José Miguel da Rocha Fonte,West Ham United,33,1630,187,81,5000000,99000,79,43,35,52,60,79,77,3,Right
Manuel Lanzini,West Ham United,24,1926,167,59,24500000,95000,81,82,71,78,86,28,55,2,Right
Mark Noble,West Ham United,30,2013,180,76,5500000,83000,76,46,66,75,74,70,76,2,Right
Marko Arnautovic,West Ham United,28,2094,192,83,22500000,125000,82,77,74,79,81,53,81,3,Right
Michail Antonio,West Ham United,27,2074,178,80,17500000,120000,80,85,74,70,81,52,82,2,Right
Pablo Zabaleta,West Ham United,32,2033,178,74,7000000,99000,79,61,56,70,73,81,78,3,Right
Pedro Mba Obiang Avomo,West Ham United,25,1990,185,75,10000000,79000,77,68,59,75,74,75,77,2,Right
Sam Byram,West Ham United,23,1925,180,72,4500000,60000,73,75,60,66,72,70,73,1,Right
Winston Reid,West Ham United,28,1753,190,87,11500000,105000,79,69,52,49,50,80,81,2,Right
